"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COPYRIGHT";"CUI_PURCHASE_URL";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"J1";"105162-0101";"105162-0101";"MOLEX_105162-0101";"1.10mm Pitch microSD Card Header with Detect Pin, Height 1.45mm, Lead-Free, Gold (Au) Plated 0.762µm";"";"";"";" 9 (8 + 1) Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold ";"WM12823CT-ND";"";"";"";"";"";"Molex";"";"1051620101";"None";"";"";"https://pricing.snapeda.com/search/part/1051620101/?ref=eda";"";
"J3";"EJ503B";"EJ503B";"CONN_EJ503B_MPD";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"EJ503B-ND";"";"";"";"EJ503B";"";"Memory Protection Devices";"";"";"";"";"";"";
"J4";"TBL004V-508-02BE-2GY";"TBL004V-508-02BE-2GY";"CUI_TBL004V-508-02BE-2GY";"Check prices";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/terminal-blocks/tbl004v-508-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"2~24 Poles, Screwless, Vertical, 5.08 Pitch, 24~14 (AWG), Terminal Block Connector";"";"";"";"";"";"";"CUI Devices";"";"TBL004V-508-02BE-2GY";"None";"";"None";"https://pricing.snapeda.com/search/part/TBL004V-508-02BE-2GY/?ref=eda";"";
"JP1";"";"JP7Q";"JP7Q";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"L2";"10uH";"L-USL3225M";"L3225M";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11";"";"";"L";
"L3";"10uH";"L-USL3225M";"L3225M";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11";"";"";"L";
"MOTION_SENSOR_CON";"+5V";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"";
"POWER_STATUS";"GREEN";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20";"";"";"B";
"Q1";"FDS6375";"FDS6375";"SOIC127P600X175-8N";"";"";"";"";" This P-Channel 2.5V specified MOSFET is a rugged gate version of Fairchild Semiconductor's advanced PowerTrench process. It has been optimized for power management applications with a wide range of gate drive voltage (2.5V – 8V) ";"FDS6375CT-ND";"";"";"";"";"";"ON Semiconductor";"";"FDS6375";"SO-8 ON Semiconductor";"";"";"https://pricing.snapeda.com/search/part/FDS6375/?ref=eda";"Q";
"Q2";"FDS6375";"FDS6375";"SOIC127P600X175-8N";"";"";"";"";" This P-Channel 2.5V specified MOSFET is a rugged gate version of Fairchild Semiconductor's advanced PowerTrench process. It has been optimized for power management applications with a wide range of gate drive voltage (2.5V – 8V) ";"FDS6375CT-ND";"";"";"";"";"";"ON Semiconductor";"";"FDS6375";"SO-8 ON Semiconductor";"";"";"https://pricing.snapeda.com/search/part/FDS6375/?ref=eda";"";
"R1";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R2";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R3";"22";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R4";"22";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R5";"22";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R6";"22";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R7";"470k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R8";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R9";"0";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R10";"510";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R11";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R12";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R13";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R14";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R15";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R17";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R18";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R19";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R20";"500";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R21";"100m";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R22";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R23";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R24";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R25";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R26";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R27";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"R28";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"RESET_BUTTON";"PTS645SM43SMTR";"PTS645SM43SMTR";"PTS645SM43SMTR";"SWITCH TACTILE SPST-NO 0.05A 12V Check prices";"In Stock";"";"";" Tactile Switch SPST-NO Top Actuated Surface Mount ";"";"";"";"";"";"";"C&K";"";"PTS645SM43SMTR";"None";"";"None";"https://pricing.snapeda.com/search/part/PTS645SM43SMTR/?ref=eda";"";
"RTC_OSC";"ABS25-32.768KHZ-6-T";"ABS25-32.768KHZ-6-T";"XTAL_ABS25-32.768KHZ-6-T";"ABS25 Series 32.768 kHz ±20 ppm 6 pF -40 to +85 °C SMT Low Frequency Crystal";"";"";"";" 32.768kHz ±20ppm Crystal 6pF 50 kOhms 4-SOJ, 5.50mm pitch ";"535-10240-1-ND";"";"";"";"";"";"Abracon";"";"ABS25-32.768KHZ-6-T";"4-4 Abracon";"";"";"https://pricing.snapeda.com/search/part/ABS25-32.768KHZ-6-T/?ref=eda";"";
"RV";"200k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"SWD";"SWD";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";
"U$3";"";"AMW037-2.2.14R";"AMW037-2.2.14R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"STM32L476RGT6TR";"STM32L476RGT6TR";"LQFP64-10X10MM";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"STM32L476RGT6TR-ND";"497-19382-1-ND";"497-19382-2-ND";"497-19382-6-ND";"STM32L476RGT6TR";"";"STMicroelectronics";"";"";"";"";"";"";
"U2";"HTRC11001TSOT108-1_NXP-M";"HTRC11001TSOT108-1_NXP-M";"SOT108-1_NXP-M";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"HTRC11001T";"";"NXP";"";"";"";"";"";"";
"U3";"MCP73844-820I/MS";"MCP73844-820I/MS";"MSOP8_MC_MCH";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"MCP73844-820I/MS-ND";"";"";"";"MCP73844-820I/MS";"";"Microchip";"";"";"";"";"";"X";
"U4";"BA90BC0FP-E2";"BA90BC0FP-E2";"TO252-3_ROM";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"BA90BC0FP-E2TR-ND";"BA90BC0FP-E2CT-ND";"BA90BC0FP-E2DKR-ND";"";"BA90BC0FP-E2";"";"ROHM Semiconductor";"";"";"";"";"";"";
"U5";"MIC5216-5.0YMM";"MIC5216-5.0YMM";"MSOP8_MM_MCH";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"576-2990-ND";"";"";"";"MIC5216-5.0YMM";"";"Microchip";"";"";"";"";"";"";
"U7";"MIC5216-3.3YMM";"MIC5216-3.3YMM";"MSOP-8_MM_MCL";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"2156-MIC5216-3.3YMM-ND";"576-2375-ND";"";"";"MIC5216-3.3YMM";"";"Micrel";"";"";"";"";"";"";
